,ID_FILE,NAME_FILE,FROM_FOLDER,FILE_LENGTH,FILE_DATE_CREATED,FILE_DATE_UPDATED,FILE_URL_LINK
0,0c46da32-601e-4921-a8b1-32ae1b44e239,PowerBI.png,Elections,2188872,2022-10-10T07:43:42Z,2022-10-10T07:43:42Z,/teams/DemoTest/Documents partages/Elections/PowerBI.png
1,9d0de27f-530b-4d5e-aa3f-14465c16ded8,Thumbnails.aspx,Forms,2751,2022-10-01T23:50:19Z,2022-10-01T23:50:19Z,/teams/DemoTest/Documents partages/Forms/Thumbnails.aspx
2,a0140425-c6fa-4032-9625-49789ebf6398,template.dotx,Forms,11143,2022-10-01T23:50:19Z,2022-10-01T23:50:19Z,/teams/DemoTest/Documents partages/Forms/template.dotx
3,6b919d5e-b197-4ef6-9f9c-6f1da8fe5f95,AllItems.aspx,Forms,2751,2022-10-01T23:50:19Z,2022-10-01T23:50:19Z,/teams/DemoTest/Documents partages/Forms/AllItems.aspx
4,cf4969ab-f822-43ce-b506-755b7b8bb02b,repair.aspx,Forms,3292,2022-10-01T23:50:19Z,2022-10-01T23:50:19Z,/teams/DemoTest/Documents partages/Forms/repair.aspx
5,742cd435-1dc4-4eda-8906-769b38dfc457,DispForm.aspx,Forms,4250,2022-10-01T23:50:19Z,2022-10-01T23:50:19Z,/teams/DemoTest/Documents partages/Forms/DispForm.aspx
6,fc2bbf20-9f6e-457e-b593-7896831c949a,EditForm.aspx,Forms,4250,2022-10-01T23:50:19Z,2022-10-01T23:50:19Z,/teams/DemoTest/Documents partages/Forms/EditForm.aspx
7,a0c409d6-45b2-40a2-af0c-a8d9735b017f,Combine.aspx,Forms,2751,2022-10-01T23:50:19Z,2022-10-01T23:50:19Z,/teams/DemoTest/Documents partages/Forms/Combine.aspx
8,b320f638-9246-484c-819c-aa51efa2069c,Upload.aspx,Forms,6076,2022-10-01T23:50:19Z,2022-10-01T23:50:19Z,/teams/DemoTest/Documents partages/Forms/Upload.aspx
9,7d5247dd-4be0-419a-9783-3c4ed1a0a098,renseignement_stg.pdf,Data,207364,2022-10-08T16:20:39Z,2022-10-08T16:20:39Z,/teams/DemoTest/Documents partages/Data/renseignement_stg.pdf
10,087b7e5c-f247-44b5-b6fa-7d2e221e79b5,1664043237938.jpeg,Data,47808,2022-10-08T20:13:54Z,2022-10-08T20:13:54Z,/teams/DemoTest/Documents partages/Data/1664043237938.jpeg
11,2ecccff4-f987-4689-9278-89c88afc7933,ABRI PROVISOIRE.csv,Data,898,2022-10-08T16:20:50Z,2022-10-08T16:20:50Z,/teams/DemoTest/Documents partages/Data/ABRI PROVISOIRE.csv
12,eeb16111-db08-4ca7-aaf1-a46e3ad99a63,liste_page_vierge.txt,Data,2031,2022-10-08T16:21:03Z,2022-10-08T16:21:03Z,/teams/DemoTest/Documents partages/Data/liste_page_vierge.txt
